,ds,y
0,2020-03-01,7942
1,2020-03-02,7974
2,2020-03-03,9237
3,2020-03-04,6825
4,2020-03-05,10643
5,2020-03-06,11357
6,2020-03-07,11944
7,2020-03-08,7896
8,2020-03-09,8993
9,2020-03-10,9768
10,2020-03-11,6303
11,2020-03-12,15689
12,2020-03-13,17150
13,2020-03-14,17632
14,2020-03-15,12973
15,2020-03-16,17289
16,2020-03-17,17868
17,2020-03-18,13822
18,2020-03-19,16790
19,2020-03-20,14437
20,2020-03-21,11494
21,2020-03-22,8125
22,2020-03-23,6674
23,2020-03-24,6525
24,2020-03-25,5364
25,2020-03-26,6318
26,2020-03-27,7430
27,2020-03-28,8318
28,2020-03-29,5290
29,2020-03-30,5965
30,2020-03-31,6713
31,2020-04-01,5528
32,2020-04-02,8023
33,2020-04-03,8620
34,2020-04-04,8912
35,2020-04-05,6468
36,2020-04-06,6310
37,2020-04-07,8299
38,2020-04-08,6183
39,2020-04-09,10344
40,2020-04-10,7121
41,2020-04-11,8281
42,2020-04-12,5047
43,2020-04-13,5545
44,2020-04-14,8024
45,2020-04-15,6065
46,2020-04-16,9070
47,2020-04-17,9078
48,2020-04-18,10129
49,2020-04-19,7458
50,2020-04-20,6234
51,2020-04-21,6088
52,2020-04-22,5349
53,2020-04-23,9189
54,2020-04-24,9281
55,2020-04-25,10200
56,2020-04-26,7324
57,2020-04-27,5688
58,2020-04-28,7014
59,2020-04-29,6647
60,2020-04-30,9531
61,2020-05-01,9910
62,2020-05-02,10803
63,2020-05-03,5716
64,2020-05-04,6421
65,2020-05-05,7324
66,2020-05-06,5588
67,2020-05-07,8413
68,2020-05-08,9800
69,2020-05-09,10950
70,2020-05-10,5031
71,2020-05-11,5374
72,2020-05-12,7331
73,2020-05-13,5234
74,2020-05-14,7488
75,2020-05-15,9479
76,2020-05-16,9733
77,2020-05-17,6649
78,2020-05-18,6066
79,2020-05-19,7618
80,2020-05-20,6227
81,2020-05-21,8442
82,2020-05-22,7658
83,2020-05-23,9034
84,2020-05-24,6093
85,2020-05-25,6124
86,2020-05-26,6866
87,2020-05-27,3523
88,2020-05-28,8526
89,2020-05-29,8274
90,2020-05-30,10118
91,2020-05-31,5704
